ID,人数,順位,ゲームの時間,送ったライン合計,APM,日付,(JST),リプレイ
9OTEQ4,38,6/38,2:23.470,55,31.37,2021-06-13,19:37:52,---
DD2RFO,39,4/39,2:20.490,105,54.24,2021-06-13,19:34:47,---
92AXN8,3,2/3,1:20.630,36,36.46,2021-06-13,18:23:26,---
JMLQUH,3,3/3,6.51,0,0.0,2021-06-13,18:22:01,---
66ADQ3,3,3/3,14.84,1,4.04,2021-06-13,18:20:47,---
V60GMS,3,1/3,43.78,40,64.41,2021-06-13,18:20:19,---
XYYNW8,3,2/3,54.1,24,29.94,2021-06-13,18:19:31,---
3TZKOG,2,1/2,30.53,27,64.85,2021-06-13,18:18:33,---
PBSPW0,3,1/3,56.46,35,62.7,2021-06-13,18:17:59,---
ZN22S2,6,2/6,2:06.730,81,40.24,2021-06-13,15:11:22,---
YXR6EE,6,1/6,2:21.060,90,41.68,2021-06-13,15:09:11,---
IVS6M0,6,3/6,2:11.880,73,40.49,2021-06-13,14:19:31,---
BC7FWB,5,1/5,1:53.420,62,42.85,2021-06-13,14:16:05,---
Q6SG9N,4,1/4,2:20.360,79,42.32,2021-06-13,14:14:08,---
F1XHBG,2,1/2,1:34.900,42,28.45,2021-06-12,19:12:43,---
G6OXSC,6,2/6,1:55.120,71,44.82,2021-06-12,17:49:53,---
ZSN33W,5,4/5,1:27.480,26,26.75,2021-06-12,17:47:43,---
3BKJW0,4,2/4,2:56.610,94,38.05,2021-06-12,17:45:34,---
98FCBP,3,1/3,1:02.400,45,50.96,2021-06-12,17:42:30,---
RRXUMI,4,4/4,28.89,5,14.54,2021-06-12,17:41:25,---
E6AU51,3,3/3,1:51.230,32,22.66,2021-06-12,17:40:46,---
0YXNBD,4,1/4,2:27.090,79,37.53,2021-06-11,14:39:06,---
PW7661,4,3/4,2:27.380,68,37.05,2021-06-10,20:43:29,---
JNGV7V,6,1/6,2:17.540,107,53.66,2021-06-10,20:40:54,---
I3WCIU,5,1/5,2:11.410,76,45.66,2021-06-10,20:38:29,---
N8B3MP,6,1/6,2:23.300,78,38.52,2021-06-10,20:36:09,---
T4R3UL,5,3/5,2:08.310,52,34.14,2021-06-10,20:33:41,---
XASOBG,4,1/4,2:19.600,89,47.28,2021-06-10,19:33:19,---
11Y8LQ,2,1/2,10.85,21,116.13,2021-06-10,19:30:56,---
J5S1LR,5,1/5,2:07.320,80,48.07,2021-06-10,19:30:38,---
IA8QSF,5,2/5,1:09.910,34,36.05,2021-06-10,14:39:18,---
ASPAWK,6,1/6,1:48.650,70,40.31,2021-06-09,18:51:01,---
4NCQ8O,4,1/4,1:20.390,46,38.81,2021-06-09,18:49:08,---
R7WEVS,5,1/5,2:20.900,93,43.44,2021-06-09,17:01:09,---
YT8XXT,4,1/4,2:17.680,65,31.38,2021-06-08,09:46:34,---
7BDHIF,3,1/3,1:17.580,57,48.72,2021-06-08,09:44:08,---
WLUHS2,60,19/60,2:36.390,58,26.47,2021-06-08,08:24:03,---
WV0UM9,43,32/43,43.82,0,0.0,2021-06-07,18:11:04,---
WAXO7W,42,30/42,45.71,0,0.0,2021-06-07,18:08:06,---
OJVYDY,43,31/43,47.49,0,0.0,2021-06-07,18:05:00,---
JOJITN,39,34/39,37.88,0,0.0,2021-06-07,18:01:53,---
SFJ0AK,41,31/41,49.71,0,0.0,2021-06-07,17:58:46,---
4UM0LH,37,28/37,40.91,0,0.0,2021-06-07,17:55:40,---
XLNHHN,39,30/39,40.74,0,0.0,2021-06-07,17:49:25,---
H7EHTK,45,4/45,2:58.260,111,43.76,2021-06-07,17:46:19,---
55H23C,42,7/42,2:23.230,67,34.77,2021-06-07,17:43:12,---
4WZNJ4,43,34/43,41.44,0,0.0,2021-06-07,17:40:14,---
25CHK8,45,30/45,45.18,0,0.0,2021-06-07,17:37:27,---
N4DNFR,43,33/43,40.74,0,0.0,2021-06-07,17:34:20,---
0J7LDE,41,32/41,41.06,0,0.0,2021-06-07,17:28:37,---
UBAKXY,44,36/44,42.84,0,0.0,2021-06-07,17:25:54,---
HWUC9M,42,37/42,36.85,0,0.0,2021-06-07,17:22:54,---
ZE225V,42,32/42,46.1,0,0.0,2021-06-07,17:20:18,---
Q42KBX,38,30/38,38.36,0,0.0,2021-06-07,16:44:32,---
EXBEO9,43,33/43,41.58,0,0.0,2021-06-07,16:41:27,---
PQ921E,40,35/40,39.76,0,0.0,2021-06-07,16:38:20,---
33ZT5B,41,12/41,2:11.670,77,41.01,2021-06-07,16:35:40,---
44XMEP,44,38/44,39.26,0,0.0,2021-06-07,16:29:30,---
NMKL5D,41,2/41,3:00.950,104,37.47,2021-06-07,16:26:25,---
3JDTJV,41,5/41,2:39.150,85,39.21,2021-06-07,16:23:18,---
OYS3KP,40,7/40,2:47.180,86,36.97,2021-06-07,16:20:18,---
CFT3KP,40,34/40,47.27,0,0.0,2021-06-07,16:17:14,---
PNBKCN,38,2/38,2:57.780,89,33.41,2021-06-07,16:11:03,---
YKPLRW,33,3/33,2:55.940,76,33.42,2021-06-07,16:08:00,---
6QDYHN,37,1/37,3:02.140,51,25.69,2021-06-07,16:04:54,---
FVMICB,38,21/38,2:11.830,70,39.6,2021-06-07,16:01:46,---
FJFMDJ,5,3/5,2:08.340,58,31.79,2021-06-07,15:16:32,---
674CTJ,46,1/46,3:03.930,82,30.66,2021-06-07,12:15:54,---
ZH95UF,4,1/4,1:35.600,34,35.77,2021-06-07,08:43:58,---
C5PQW7,1,1/1,12.81,0,0.0,2021-06-06,16:46:41,---
67GIK6,3,2/3,1:25.460,56,55.46,2021-06-06,16:30:15,---
DJK4OP,4,2/4,2:21.160,50,28.48,2021-06-06,14:15:17,---
CEQVO1,4,2/4,1:53.390,53,39.16,2021-06-06,14:12:49,---
BK7YA5,5,2/5,2:09.140,54,28.81,2021-06-05,23:07:55,---
2K7BM8,4,1/4,37.63,40,79.72,2021-06-05,23:05:42,---
ZOJKQT,6,4/6,40.5,13,20.74,2021-06-05,23:05:00,---
XM553G,2,2/2,1:08.150,24,51.94,2021-06-05,22:53:34,---
388KTF,3,3/3,24.01,2,14.99,2021-06-05,22:52:21,---
662D0C,3,2/3,53.66,28,38.02,2021-06-05,22:51:36,---
SK9JHN,42,6/42,2:57.750,116,43.88,2021-06-04,23:25:04,---
U7AR1U,44,12/44,2:21.110,86,39.12,2021-01-16,08:05:55,---
Z16L5N,6,2/6,2:14.620,88,49.47,2021-06-04,21:09:30,---
INMDNO,6,5/6,31.99,10,37.51,2021-06-04,21:07:11,---
1A4YEB,5,2/5,1:24.100,51,46.37,2021-06-04,14:45:14,---
WAU64M,5,2/5,2:11.600,76,40.12,2021-06-04,13:07:29,---
MJP4PS,5,1/5,1:39.680,63,40.93,2021-06-04,05:18:54,---
SONKHZ,5,2/5,1:55.510,83,50.39,2021-06-04,05:17:08,---
7GYBJ8,5,3/5,1:35.460,47,37.08,2021-06-04,05:15:06,---
UDVT8T,3,1/3,52.15,55,65.58,2021-06-04,03:38:07,---
ZYGB75,5,2/5,2:05.610,76,45.86,2021-06-03,23:54:41,---
RLM2WT,6,4/6,44.58,30,49.8,2021-06-03,22:25:52,---
8AXDW3,5,4/5,25.92,4,16.2,2021-06-03,22:23:42,---
2JYRSJ,5,5/5,31.66,0,0.0,2021-06-03,22:22:44,---
Q43GRS,4,2/4,1:21.650,29,30.86,2021-06-03,22:21:36,---
PNJY7O,5,3/5,1:06.360,34,40.69,2021-06-03,22:20:11,---
Z6RM82,3,2/3,39.69,23,34.77,2021-06-03,22:18:47,---
Y3FQCT,5,5/5,21.52,2,25.09,2021-06-03,22:18:05,---
NH5EGN,5,4/5,1:15.060,35,35.97,2021-06-03,22:17:13,---
0JIQ82,5,2/5,1:13.650,50,46.44,2021-06-03,22:15:07,---
1A1UGE,3,2/3,32.33,17,35.26,2021-06-03,22:13:49,---
QUERPH,41,12/41,2:18.860,53,27.65,2021-06-03,22:11:04,---
7MC3ZS,37,10/37,2:15.180,85,41.72,2021-06-03,22:08:00,---
2WANDA,43,4/43,2:24.580,86,39.84,2021-06-03,22:04:58,---
VWEIHA,42,2/42,2:59.930,90,34.68,2021-06-03,16:53:40,---
L43IM4,42,1/42,3:01.730,112,41.6,2021-06-03,16:50:34,---
B5CFLV,37,1/37,2:56.590,105,42.13,2021-06-03,16:47:27,---
Q9IA5B,41,7/41,2:39.730,83,34.93,2021-06-03,16:44:24,---
LQS7ZT,43,19/43,2:07.860,81,41.76,2021-06-03,16:41:19,---
H3AORT,5,1/5,2:02.360,69,44.62,2021-06-03,02:54:04,---
B42ZQI,4,2/4,1:51.360,48,44.18,2021-06-03,02:51:58,---
NNH52J,3,2/3,2:08.260,61,38.83,2021-06-02,17:21:26,---
HJVVCO,43,2/43,3:01.010,109,39.11,2021-06-02,13:38:54,---
HYI2OU,44,1/44,2:59.700,97,35.06,2021-06-02,13:35:47,---
FJH5R8,44,4/44,3:00.470,116,40.89,2021-06-02,13:29:31,---
L1QEGQ,6,2/6,45.85,28,43.18,2021-06-02,13:24:14,---
XXVIDM,8,6/8,1:18.730,47,41.15,2020-11-18,23:18:10,---
WL74C6,5,4/5,48.44,25,42.11,2021-06-02,13:20:41,---
UGW9X5,6,2/6,1:40.350,46,36.47,2021-06-02,13:19:18,---
XLVJB2,4,4/4,57.75,39,50.91,2021-06-02,13:17:34,---
NF10I4,6,3/6,1:20.490,44,38.76,2021-06-02,13:04:38,---
K0PM88,6,4/6,29.92,16,34.09,2021-06-02,13:02:54,---
6FQY5E,6,6/6,32.23,14,27.92,2021-06-02,13:01:35,---
XON8R9,6,4/6,55.58,15,49.66,2021-06-02,12:59:44,---
VZER4Q,5,1/5,2:19.220,64,36.2,2020-01-11,01:20:34,---
ZPLCA2,4,2/4,2:01.650,59,36.99,2021-05-30,04:14:56,---
1J1VW4,4,2/4,1:28.350,40,37.35,2021-05-30,04:12:50,---
JH6GGH,5,2/5,2:22.830,76,43.27,2020-10-13,14:49:25,---
JFXHM7,6,3/6,26.99,39,88.92,2020-01-22,03:56:50,---
XFG1L2,5,2/5,2:42.290,88,41.04,2021-05-30,04:08:20,---
1A8BNX,5,4/5,31.56,1,3.8,2021-05-30,04:05:32,---
0MHMVJ,4,2/4,2:15.060,64,34.65,2021-05-30,04:03:03,---
SWCYHY,6,3/6,2:19.760,89,45.94,2021-05-30,04:00:44,---
87T744,4,2/4,51.94,38,55.45,2021-05-30,00:48:43,---
4VX2VU,4,2/4,51.88,34,53.2,2021-05-30,00:47:46,---
U5LS3K,4,2/4,1:32.770,70,53.03,2021-05-30,00:46:48,---
6B6ZNT,5,4/5,45.64,19,32.87,2021-05-30,00:45:10,---
RIID0J,5,4/5,27.38,9,19.72,2021-05-30,00:43:42,---
QETX78,6,2/6,2:04.650,67,45.25,2021-05-30,00:42:47,---
1FFLYY,4,4/4,22.32,22,69.89,2021-05-30,00:40:38,---
CZDZK2,5,2/5,54.39,45,51.85,2021-05-30,00:38:55,---
RX5087,5,1/5,2:35.200,93,50.26,2021-05-29,21:24:10,---
DX1LG4,6,2/6,1:53.350,43,35.47,2021-05-29,21:21:31,---
48ZCKF,6,3/6,1:25.490,31,28.07,2021-05-29,21:19:29,---
9LROJI,6,2/6,2:00.650,64,41.28,2021-05-29,21:16:44,---
ET7RIJ,5,3/5,2:14.710,61,32.51,2021-05-29,21:14:37,---
22JGN9,4,2/4,2:27.410,68,40.3,2021-05-29,21:11:32,---
WBXZU6,5,5/5,21.38,3,11.23,2021-05-29,17:52:47,---
YTPR0C,6,2/6,2:18.790,70,38.48,2021-05-29,17:50:45,---
CQZN0N,5,4/5,22.51,20,53.31,2021-05-29,17:48:23,---
JESOIN,6,4/6,40.73,10,38.3,2021-05-29,17:47:04,---
XTV6GI,6,5/6,22.97,0,5.22,2021-05-29,17:45:31,---
R8N4E6,5,3/5,2:00.030,55,36.99,2021-05-29,17:44:16,---
0M8FLP,5,4/5,26.68,10,33.73,2021-05-29,17:42:04,---
M64QLS,6,5/6,16.03,0,0.0,2021-05-29,17:41:04,---
6SKLOX,4,1/4,2:06.450,87,55.52,2021-05-29,15:47:56,---
MDGG3Y,5,3/5,1:03.880,28,35.69,2021-05-29,15:45:46,---
LFOWB8,5,1/5,2:21.340,70,36.93,2021-05-28,17:10:43,---
SXMO5Y,3,2/3,1:10.840,46,44.04,2021-05-28,17:08:16,---
